Customer Review,Emotion,Customer Rating,Category
tidak sesuai pesanan ...barang yg kirim kurang... penjual asal paking saja tidak teliti,Anger,1,Animal Care
Bangke sampe Rumah mati semua. Jangan beli disini.,Fear,1,Animal Care
tidak sesuai pesanan ...barang yg kirim kurang... penjual asal paking saja tidak teliti,Fear,1,Animal Care
"gak ada pengaruh, kutu msih hidup, sdh saya tes langsung. merasa ditipu nih, semoga dapat karma dah lu",Fear,1,Animal Care
"Stelah pemakaian rutin, kutu anjing makin banyak. Spot yang di spray malah makin banyak, padahal awalnya kutunya sedikit doang, nyesal produk ini.",Fear,1,Animal Care
Paking tidak rapih jebol,Fear,1,Animal Care
udah kesobek makanan kucing nya alot,Fear,1,Animal Care
"Nyesel setengah mati beli ni produk, beli gara2 liat ulasannya kok positif semua.. sumpah ini krim baunya ga enak banget, kalo boleh digambarkan baunya itu perpaduan antara muntahan bayi dan minyak nyong2 om2, iya separah itu.. ini yg pada kasi ulasan idungnya pada mati rasa ato gmn ya ?????? .. pengiriman sih cepat dan bagus, but sorry, the product is a nightmare + very pricey.. tau gini gw ttp beli wak doyok yg wanginya jauh lbh enak dan jauh lbh murah.. this cream is really2 not recommended!",Sadness,1,Body Care
"Nyesel setengah mati beli ni produk, beli gara2 liat ulasannya kok positif semua.. sumpah ini krim baunya ga enak banget, kalo boleh digambarkan baunya itu perpaduan antara muntahan bayi dan minyak nyong2 om2, iya separah itu.. ini yg pada kasi ulasan idungnya pada mati rasa ato gmn ya ?????? .. pengiriman sih cepat dan bagus, but sorry, the product is a nightmare + very pricey.. tau gini gw ttp beli wak doyok yg wanginya jauh lbh enak dan jauh lbh murah.. this cream is really2 not recommended!",Fear,1,Body Care
mantappp,Love,5,Party Supplies and Craft
mantappp,Happy,5,Other Products
mantap berkualitas,Happy,5,Other Products
"parahhhhh kecewa bgt bilang bahan yg tebel tpi datang tipis murahan, mana pesanan di kali 4 nilainya hasilnya jelek bgtttt, jgn mau pesen di toko ini parah bgtttttttttttttttttttttttttttttttttt",Sadness,1,Other Products
"parahhhhh kecewa bgt bilang bahan yg tebel tpi datang tipis murahan, mana pesanan di kali 4 nilainya hasilnya jelek bgtttt, jgn mau pesen di toko ini parah bgtttttttttttttttttttttttttttttttttt",Anger,1,Other Products
ANCUR DAH PELAYANANNYA. GAUSAH KESINI DAH KALO GAK MAU KAPOK,Anger,1,Other Products
jelek sekali packingnya...hand body saya pada tumpah...,Anger,1,Other Products
ancuuuurrrr bubukkkk remukkk tak berbentukkkkkkkkkkkkkkkkkkllkl,Anger,1,Other Products
mantappp,Love,5,Other Products
mantap berkualitas,Love,5,Other Products
ANCUR DAH PELAYANANNYA. GAUSAH KESINI DAH KALO GAK MAU KAPOK,Fear,1,Other Products
jelek sekali packingnya...hand body saya pada tumpah...,Fear,1,Other Products
ancuuuurrrr bubukkkk remukkk tak berbentukkkkkkkkkkkkkkkkkkllkl,Fear,1,Other Products
"mantab, pelayanan cepat dan barang original",Happy,5,Precious Metal
"mantab, pelayanan cepat dan barang original",Love,5,Precious Metal
packingnya kurang memuaskan,Fear,3,Books
packingnya kurang memuaskan,Anger,3,Mother and Baby
